id,O,BLEU,BERTScore_F1,SBert_cos,UGHer_1mdE
q001,1.0,0.0302,0.8332,0.7307,0.7025
q003,2.0,0.0065,0.8335,0.5932,0.7867
q005,4.0,0.0589,0.853,0.7334,0.9525
q009,5.0,0.0429,0.8448,0.8062,1.0
q010,2.0,0.0646,0.8564,0.8117,1.0
q012,3.0,0.0284,0.8425,0.4605,0.9974
q015,2.0,0.0323,0.845,0.6412,0.8519
q017,4.0,0.0379,0.8404,0.7003,0.8519
q019,4.0,0.1107,0.8654,0.6067,0.9525
q024,2.0,0.0277,0.8382,0.7653,0.7581
q025,3.0,0.1005,0.8752,0.8141,0.7963
q026,1.0,0.0198,0.8255,0.3474,0.4117
q032,1.0,0.0403,0.8339,0.5796,0.625
q033,3.0,0.035,0.8444,0.7144,0.9349
q034,4.0,0.0576,0.8567,0.6944,0.8354
q037,3.0,0.0466,0.8463,0.7906,0.963
q041,4.0,0.0332,0.8359,0.5313,0.9062
q042,2.0,0.0298,0.8249,0.4751,0.9604
q044,3.0,0.0542,0.8466,0.6351,0.9604
q049,4.0,0.05,0.8457,0.7058,1.0
q050,4.0,0.0371,0.8312,0.4907,0.963
q053,2.0,0.0963,0.8727,0.8167,0.9896
q055,4.0,0.039,0.8474,0.7296,0.9167
q058,3.0,0.0649,0.865,0.7333,1.0
q061,4.0,0.0449,0.8437,0.7941,0.963
q062,2.0,0.0531,0.8554,0.8102,0.8519
q063,5.0,0.0514,0.8539,0.6523,1.0
q064,2.0,0.0434,0.8516,0.7696,0.6641
q066,2.0,0.0303,0.8294,0.5869,0.963
q067,2.0,0.0387,0.8414,0.7357,0.8519
q069,3.0,0.0109,0.8321,0.6256,0.8519
q071,4.0,0.0524,0.8461,0.8053,0.9604
q072,4.0,0.0292,0.839,0.9167,0.9974
q074,3.0,0.0218,0.8289,0.783,1.0
q075,4.0,0.055,0.8476,0.817,0.963
q080,4.0,0.046,0.8498,0.8194,0.963
q081,4.0,0.032,0.8485,0.7667,1.0
q083,5.0,0.0643,0.8567,0.8347,1.0
q086,2.0,0.0511,0.8545,0.8156,0.9525
q087,3.0,0.0527,0.8608,0.6951,0.9604
q088,4.0,0.0762,0.8626,0.9091,0.9525
q092,4.0,0.0671,0.8565,0.8546,0.9525
q093,2.0,0.0507,0.8461,0.6387,0.8492
q094,3.0,0.0377,0.8498,0.7167,1.0
q095,2.0,0.0442,0.8438,0.7715,0.8102
q096,3.0,0.0332,0.8396,0.6747,0.9604
q099,2.0,0.0239,0.8185,0.556,0.9525
q100,4.0,0.0373,0.8501,0.6367,0.8414
