fr_threshold,qid,prop_idx,proposition,direct_recall,full_recall,overlap,hit_via,matched_bigrams,response_excerpt,judgment,cause
0.30,q004,1,reference作成者と監査対象の同一性が問題,0.2222,0.3333,3,primary,"参照, 問題, 監査",UGHerフレームワークが自身の出力を監査できるかどうか、また自己適用が可能かどうかという問いは、自己参照性とメタ認知の問題に深く関わっています,正当,回答が自己参照性と監査の問題を直接議論
0.30,q012,0,道具概念は使用者への完全従属を前提,0.2222,0.3333,3,primary,"完全, 機能, 道具",「AIは道具にすぎない」という主張は、哲学的にいくつかの観点から検討することができます,正当,回答が道具概念と従属性を哲学的に検討
0.30,q016,2,技術的成功≠倫理的正当性,0.2222,0.3333,3,primary,"倫理, 理的, 設計",アライメント研究は、AIシステムが人間の意図や価値観に沿って行動するように設計することを目的としています,偽ヒット,バイグラム重複: 倫理/理的が同一語由来、設計は非関連文脈
0.30,q023,1,PoRは質問-回答間の意味的共振を測定,0.3333,0.3333,3,primary,"por, 味的, 意味",両者は同じ目的、すなわちテキスト間の意味的な類似性を測ることを目指していますが、アプローチや基盤となる理論が異なります,偽ヒット,概念錯誤: PoRをPMI-Overlap Ratioと誤解、UGHerのPoint of Resonanceと不一致
0.30,q030,0,安全語彙への過剰集中がsafety-washingの指標,0.3333,0.3333,3,primary,"safety, washing, 安全",「安全性洗浄（safety-washing）」とは、企業や組織が実際には十分な安全対策を講じていないにもかかわらず、表面的には安全性に配慮しているように見せかける行為を指します,偽ヒット,質問トピック語彙: safety/washing/安全が質問題材から一致
0.30,q065,1,段階的アクセス制御が現実的選択肢,0.3333,0.3333,3,primary,"アクセス, 制御, 段階",2. **リスク評価と管理**: AI技術の開発段階で、潜在的なリスクを評価し、それに対する管理策を講じることが重要です,偽ヒット,異文脈偶然一致: 段階=開発段階、制御=一般管理、アクセス=技術アクセス
0.30,q069,2,禁止vs許容ではなく人間関与の定義が争点,0.3333,0.3333,3,primary,"人間, 禁止, 許容",自律型兵器の開発を全面禁止すべきかどうかは、倫理的、法的、技術的、そして戦略的な観点から非常に複雑な問題です,偽ヒット,構造的不一致: 禁止/許容の二項からの脱却というリフレーミング構造が回答に不在
0.30,q084,2,人間の偏見排除として部分的貢献の可能性,0.3,0.3,3,primary,"偏見, 可能, 能性",AIの普及は認識的正義に対して複雑な影響を与える可能性があります,正当,回答が偏見排除の可能性を明記
0.30,q089,2,責任帰属には行為主体性が必要でAI単独では成立しない,0.25,0.3333,4,primary,"ai, 必要, 所在, 責任",AIが説明責任を果たせるかどうかは、いくつかの重要な要素に依存しています,正当,回答がAI単独での責任不成立を直接支持
0.25,q004,1,reference作成者と監査対象の同一性が問題,0.2222,0.3333,3,primary,"参照, 問題, 監査",UGHerフレームワークが自身の出力を監査できるかどうか、また自己適用が可能かどうかという問いは、自己参照性とメタ認知の問題に深く関わっています,正当,回答が自己参照性と監査の問題を直接議論
0.25,q012,0,道具概念は使用者への完全従属を前提,0.2222,0.3333,3,primary,"完全, 機能, 道具",「AIは道具にすぎない」という主張は、哲学的にいくつかの観点から検討することができます,正当,回答が道具概念と従属性を哲学的に検討
0.25,q016,2,技術的成功≠倫理的正当性,0.2222,0.3333,3,primary,"倫理, 理的, 設計",アライメント研究は、AIシステムが人間の意図や価値観に沿って行動するように設計することを目的としています,偽ヒット,バイグラム重複: 倫理/理的が同一語由来、設計は非関連文脈
0.25,q023,1,PoRは質問-回答間の意味的共振を測定,0.3333,0.3333,3,primary,"por, 味的, 意味",両者は同じ目的、すなわちテキスト間の意味的な類似性を測ることを目指していますが、アプローチや基盤となる理論が異なります,偽ヒット,概念錯誤: PoRをPMI-Overlap Ratioと誤解、UGHerのPoint of Resonanceと不一致
0.25,q030,0,安全語彙への過剰集中がsafety-washingの指標,0.3333,0.3333,3,primary,"safety, washing, 安全",「安全性洗浄（safety-washing）」とは、企業や組織が実際には十分な安全対策を講じていないにもかかわらず、表面的には安全性に配慮しているように見せかける行為を指します,偽ヒット,質問トピック語彙: safety/washing/安全が質問題材から一致
0.25,q065,1,段階的アクセス制御が現実的選択肢,0.3333,0.3333,3,primary,"アクセス, 制御, 段階",2. **リスク評価と管理**: AI技術の開発段階で、潜在的なリスクを評価し、それに対する管理策を講じることが重要です,偽ヒット,異文脈偶然一致: 段階=開発段階、制御=一般管理、アクセス=技術アクセス
0.25,q069,2,禁止vs許容ではなく人間関与の定義が争点,0.3333,0.3333,3,primary,"人間, 禁止, 許容",自律型兵器の開発を全面禁止すべきかどうかは、倫理的、法的、技術的、そして戦略的な観点から非常に複雑な問題です,偽ヒット,構造的不一致: 禁止/許容の二項からの脱却というリフレーミング構造が回答に不在
0.25,q080,2,準証言的機能としての概念拡張が検討可能,0.1818,0.2727,3,primary,"可能, 役割, 証言",AIの出力を「証言」として認識論的に扱うことは、非常に興味深い問いです,偽ヒット,粒度不足: 証言適用可能性の一般論はあるが準証言的機能という概念拡張の議論構造が不在
0.25,q084,2,人間の偏見排除として部分的貢献の可能性,0.3,0.3,3,primary,"偏見, 可能, 能性",AIの普及は認識的正義に対して複雑な影響を与える可能性があります,正当,回答が偏見排除の可能性を明記
0.25,q089,2,責任帰属には行為主体性が必要でAI単独では成立しない,0.25,0.3333,4,primary,"ai, 必要, 所在, 責任",AIが説明責任を果たせるかどうかは、いくつかの重要な要素に依存しています,正当,回答がAI単独での責任不成立を直接支持
0.20,q004,1,reference作成者と監査対象の同一性が問題,0.2222,0.3333,3,primary,"参照, 問題, 監査",UGHerフレームワークが自身の出力を監査できるかどうか、また自己適用が可能かどうかという問いは、自己参照性とメタ認知の問題に深く関わっています,正当,回答が自己参照性と監査の問題を直接議論
0.20,q012,0,道具概念は使用者への完全従属を前提,0.2222,0.3333,3,primary,"完全, 機能, 道具",「AIは道具にすぎない」という主張は、哲学的にいくつかの観点から検討することができます,正当,回答が道具概念と従属性を哲学的に検討
0.20,q016,2,技術的成功≠倫理的正当性,0.2222,0.3333,3,primary,"倫理, 理的, 設計",アライメント研究は、AIシステムが人間の意図や価値観に沿って行動するように設計することを目的としています,偽ヒット,バイグラム重複: 倫理/理的が同一語由来、設計は非関連文脈
0.20,q023,1,PoRは質問-回答間の意味的共振を測定,0.3333,0.3333,3,primary,"por, 味的, 意味",両者は同じ目的、すなわちテキスト間の意味的な類似性を測ることを目指していますが、アプローチや基盤となる理論が異なります,偽ヒット,概念錯誤: PoRをPMI-Overlap Ratioと誤解、UGHerのPoint of Resonanceと不一致
0.20,q030,0,安全語彙への過剰集中がsafety-washingの指標,0.3333,0.3333,3,primary,"safety, washing, 安全",「安全性洗浄（safety-washing）」とは、企業や組織が実際には十分な安全対策を講じていないにもかかわらず、表面的には安全性に配慮しているように見せかける行為を指します,偽ヒット,質問トピック語彙: safety/washing/安全が質問題材から一致
0.20,q065,1,段階的アクセス制御が現実的選択肢,0.3333,0.3333,3,primary,"アクセス, 制御, 段階",2. **リスク評価と管理**: AI技術の開発段階で、潜在的なリスクを評価し、それに対する管理策を講じることが重要です,偽ヒット,異文脈偶然一致: 段階=開発段階、制御=一般管理、アクセス=技術アクセス
0.20,q069,2,禁止vs許容ではなく人間関与の定義が争点,0.3333,0.3333,3,primary,"人間, 禁止, 許容",自律型兵器の開発を全面禁止すべきかどうかは、倫理的、法的、技術的、そして戦略的な観点から非常に複雑な問題です,偽ヒット,構造的不一致: 禁止/許容の二項からの脱却というリフレーミング構造が回答に不在
0.20,q080,2,準証言的機能としての概念拡張が検討可能,0.1818,0.2727,3,primary,"可能, 役割, 証言",AIの出力を「証言」として認識論的に扱うことは、非常に興味深い問いです,偽ヒット,粒度不足: 証言適用可能性の一般論はあるが準証言的機能という概念拡張の議論構造が不在
0.20,q084,2,人間の偏見排除として部分的貢献の可能性,0.3,0.3,3,primary,"偏見, 可能, 能性",AIの普及は認識的正義に対して複雑な影響を与える可能性があります,正当,回答が偏見排除の可能性を明記
0.20,q089,2,責任帰属には行為主体性が必要でAI単独では成立しない,0.25,0.3333,4,primary,"ai, 必要, 所在, 責任",AIが説明責任を果たせるかどうかは、いくつかの重要な要素に依存しています,正当,回答がAI単独での責任不成立を直接支持
