id,O,L_P,L_Q,L_R,L_A,L_G,L_F,L_X,grv,drift,dispersion,collapse_v2,cover_soft,wash_index,delta_e
q001,1.0,0.3333,0.0000,0.0000,0.0000,0.2445,1.0000,0.0000,0.2445,0.2356,0.1700,0.2842,0.7725,0.2195,0.2974
q003,2.0,0.6667,0.0000,0.0000,0.0000,0.3017,0.5000,0.0000,0.3017,0.3141,0.1808,0.2912,0.8474,0.2467,0.2133
q005,4.0,0.3333,1.0000,0.0000,0.0000,0.2230,0.0000,,0.2230,0.2148,0.1722,0.2563,0.8245,0.2113,0.0474
q009,5.0,0.0000,0.0000,0.0000,0.0000,0.1242,0.0000,0.0000,0.1242,0.1060,0.1354,0.1729,0.8762,0.1515,0.0000
q010,2.0,0.0000,0.0000,0.0000,0.0000,0.2187,0.0000,0.0000,0.2187,0.2117,0.1625,0.2493,0.7987,0.1991,0.0000
q012,3.0,0.3333,0.0000,0.5000,0.0000,0.1097,0.0000,1.0000,0.1097,0.0940,0.0787,0.1599,0.8043,0.1286,0.0396
q015,2.0,0.6667,0.0000,0.0000,0.0000,0.1737,0.0000,,0.1737,0.1402,0.1307,0.2761,0.7500,0.2071,0.1482
q017,4.0,0.6667,0.0000,0.0000,0.0000,0.1266,0.0000,1.0000,0.1266,0.1138,0.1179,0.1641,0.8838,0.1450,0.1482
q019,4.0,0.3333,1.0000,0.0000,0.0000,0.1623,0.0000,0.0000,0.1623,0.1281,0.1233,0.2656,0.8129,0.2159,0.0474
q024,2.0,0.3333,0.0000,0.5000,0.0000,0.1546,0.5000,,0.1546,0.1314,0.1498,0.2207,0.8155,0.1799,0.1308
q025,3.0,0.3333,1.0000,0.5000,0.0000,0.2190,0.5000,0.0000,0.2190,0.2172,0.1180,0.2444,0.7772,0.1900,0.2037
q026,1.0,0.6667,1.0000,0.5000,0.0000,0.2453,1.0000,0.0000,0.2453,0.2321,0.1977,0.2918,0.8216,0.2398,0.5883
q032,1.0,0.0000,1.0000,0.0000,0.0000,0.1621,1.0000,,0.1621,0.1274,0.1865,0.2542,0.8186,0.2081,0.3750
q033,3.0,0.0000,0.0000,0.0000,0.0000,0.2112,0.5000,,0.2112,0.2063,0.1694,0.2333,0.8535,0.1992,0.0651
q034,4.0,0.3333,0.0000,1.0000,0.0000,0.1516,0.5000,,0.1516,0.1269,0.1218,0.2267,0.7980,0.1809,0.1646
q037,3.0,0.3333,0.0000,0.0000,0.0000,0.1831,0.0000,,0.1831,0.1618,0.1458,0.2501,0.8406,0.2102,0.0370
q041,4.0,0.5000,0.0000,1.0000,0.0000,0.2314,0.0000,0.0000,0.2314,0.2273,0.1636,0.2565,0.7659,0.1965,0.0938
q042,2.0,0.3333,0.0000,0.5000,0.0000,0.1923,0.0000,,0.1923,0.1789,0.1684,0.2344,0.8320,0.1951,0.0396
q044,3.0,0.3333,0.0000,0.5000,0.0000,0.2383,0.0000,,0.2383,0.2284,0.1426,0.2852,0.7747,0.2210,0.0396
q049,4.0,0.0000,0.0000,0.0000,0.0000,0.1470,0.0000,,0.1470,0.1123,0.1073,0.2521,0.8073,0.2035,0.0000
q050,4.0,0.3333,0.0000,0.0000,0.0000,0.1837,0.0000,,0.1837,0.1583,0.1753,0.2563,0.8090,0.2073,0.0370
q053,2.0,0.0000,0.0000,1.0000,0.0000,0.1148,0.0000,,0.1148,0.1095,0.0939,0.1337,0.8707,0.1164,0.0104
q055,4.0,0.0000,0.0000,0.0000,0.0000,0.2066,0.0000,,0.2066,0.1941,0.1605,0.2506,0.8081,0.2025,0.0000
q058,3.0,0.0000,0.0000,0.0000,0.0000,0.2102,0.0000,,0.2102,0.2085,0.1362,0.2299,0.8124,0.1868,0.0000
q061,4.0,0.3333,0.0000,0.0000,0.0000,0.1023,0.0000,,0.1023,0.0838,0.1065,0.1535,0.9109,0.1398,0.0370
q062,2.0,0.6667,0.0000,0.0000,0.0000,0.1028,0.0000,1.0000,0.1028,0.0705,0.0690,0.1998,0.8091,0.1617,0.1482
q063,5.0,0.0000,0.0000,0.0000,0.0000,0.1306,0.0000,0.0000,0.1306,0.0991,0.1173,0.2216,0.8471,0.1877,0.0000
q064,2.0,0.6667,0.0000,0.5000,0.0000,0.1220,0.0000,,0.1220,0.1128,0.0817,0.1555,0.8925,0.1388,0.1508
q066,2.0,0.3333,0.0000,0.0000,0.0000,0.2272,0.0000,,0.2272,0.2061,0.1760,0.2967,0.7673,0.2277,0.0370
q067,2.0,0.6667,0.0000,0.0000,0.0000,0.1503,0.0000,,0.1503,0.1011,0.1306,0.2921,0.7381,0.2156,0.1482
q069,3.0,0.6667,0.0000,0.0000,0.0000,0.2358,0.0000,,0.2358,0.2156,0.1957,0.3002,0.7721,0.2318,0.1482
q071,4.0,0.3333,0.0000,0.5000,0.0000,0.1781,0.0000,0.5000,0.1781,0.1573,0.1891,0.2342,0.8384,0.1963,0.0396
q072,4.0,0.0000,0.0000,0.5000,0.0000,0.1900,0.0000,,0.1900,0.1623,0.1978,0.2659,0.8303,0.2208,0.0026
q074,3.0,0.3333,0.0000,0.0000,0.0000,0.2326,0.0000,,0.2326,0.2102,0.2012,0.3017,0.7847,0.2367,0.0370
q075,4.0,0.0000,0.0000,0.0000,0.0000,0.2435,0.0000,,0.2435,0.2422,0.1894,0.2580,0.8383,0.2163,0.0000
q080,4.0,0.0000,0.0000,0.0000,0.0000,0.1498,0.0000,,0.1498,0.1237,0.1749,0.2177,0.8808,0.1917,0.0000
q081,4.0,0.0000,0.0000,0.0000,0.0000,0.1617,0.0000,,0.1617,0.1334,0.1561,0.2423,0.8558,0.2073,0.0000
q083,5.0,0.0000,0.0000,0.0000,0.0000,0.1346,0.0000,,0.1346,0.1130,0.1341,0.1955,0.8420,0.1646,0.0000
q086,2.0,0.3333,0.0000,1.0000,0.0000,0.2112,0.0000,,0.2112,0.2106,0.1379,0.2276,0.8598,0.1957,0.0474
q087,3.0,0.3333,0.0000,0.5000,0.0000,0.1571,0.0000,,0.1571,0.1149,0.1030,0.2861,0.7722,0.2209,0.0396
q088,4.0,0.3333,0.0000,1.0000,0.0000,0.1385,0.0000,,0.1385,0.1249,0.1166,0.1813,0.8794,0.1594,0.0474
q092,4.0,0.3333,0.0000,1.0000,0.0000,0.1464,0.0000,0.0000,0.1464,0.1172,0.1403,0.2295,0.8331,0.1912,0.0474
q093,2.0,0.6667,0.0000,0.5000,0.0000,0.2328,0.0000,1.0000,0.2328,0.2251,0.1911,0.2627,0.7925,0.2082,0.1508
q094,3.0,0.0000,0.0000,0.0000,0.0000,0.1696,0.0000,,0.1696,0.1501,0.1839,0.2214,0.8488,0.1880,0.0000
q095,2.0,0.6667,1.0000,1.0000,0.0000,0.1948,0.0000,,0.1948,0.1722,0.1856,0.2598,0.8008,0.2081,0.1898
q096,3.0,0.3333,0.0000,0.5000,0.0000,0.2579,0.0000,,0.2579,0.2539,0.1899,0.2829,0.7819,0.2212,0.0396
q099,2.0,0.3333,0.0000,1.0000,0.0000,0.3140,0.0000,1.0000,0.3140,0.3117,0.2125,0.3406,0.7570,0.2578,0.0474
q100,4.0,0.6667,0.0000,1.0000,0.0000,0.1394,0.0000,1.0000,0.1394,0.0964,0.1269,0.2622,0.7804,0.2046,0.1586
