id,O,S,C,delta_e,quality_score,verdict,f1,f2,f3,f4,hits,total
q001,1.0,0.375,0.6667,0.2975,3.8102,regenerate,0.0,1.0,0.0,0.0,2,3
q003,2.0,0.6875,0.3333,0.2133,4.147,rewrite,0.0,0.5,0.0,0.0,1,3
q005,4.0,0.875,0.6667,0.0475,4.8102,accept,0.0,0.0,1.0,0.0,2,3
q009,5.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q010,2.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q012,3.0,0.9375,0.6667,0.0396,4.8414,accept,0.0,0.0,0.0,0.5,2,3
q015,2.0,1.0,0.3333,0.1481,4.4074,rewrite,0.0,0.0,0.0,0.0,1,3
q017,4.0,1.0,0.3333,0.1481,4.4074,rewrite,0.0,0.0,0.0,0.0,1,3
q019,4.0,0.875,0.6667,0.0475,4.8102,accept,0.0,0.0,1.0,0.0,2,3
q024,2.0,0.625,0.6667,0.1308,4.4769,rewrite,0.0,0.5,0.0,0.5,2,3
q025,3.0,0.5,0.6667,0.2037,4.1852,rewrite,0.0,0.5,1.0,0.5,2,3
q026,1.0,0.1875,0.3333,0.5883,2.647,regenerate,0.0,1.0,1.0,0.5,1,3
q032,1.0,0.25,1.0,0.375,3.5,regenerate,0.0,1.0,1.0,0.0,3,3
q033,3.0,0.6875,1.0,0.0651,4.7396,accept,0.0,0.5,0.0,0.0,3,3
q034,4.0,0.5625,0.6667,0.1646,4.3414,rewrite,0.0,0.5,0.0,1.0,2,3
q037,3.0,1.0,0.6667,0.037,4.8519,accept,0.0,0.0,0.0,0.0,2,3
q041,4.0,0.875,0.5,0.0938,4.625,accept,0.0,0.0,0.0,1.0,2,4
q042,2.0,0.9375,0.6667,0.0396,4.8414,accept,0.0,0.0,0.0,0.5,2,3
q044,3.0,0.9375,0.6667,0.0396,4.8414,accept,0.0,0.0,0.0,0.5,2,3
q049,4.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q050,4.0,1.0,0.6667,0.037,4.8519,accept,0.0,0.0,0.0,0.0,2,3
q053,2.0,0.875,1.0,0.0104,4.9583,accept,0.0,0.0,0.0,1.0,3,3
q055,4.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,4,4
q058,3.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q061,4.0,1.0,0.6667,0.037,4.8519,accept,0.0,0.0,0.0,0.0,2,3
q062,2.0,1.0,0.3333,0.1481,4.4074,rewrite,0.0,0.0,0.0,0.0,1,3
q063,5.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q064,2.0,0.9375,0.3333,0.1508,4.397,rewrite,0.0,0.0,0.0,0.5,1,3
q066,2.0,1.0,0.6667,0.037,4.8519,accept,0.0,0.0,0.0,0.0,2,3
q067,2.0,1.0,0.3333,0.1481,4.4074,rewrite,0.0,0.0,0.0,0.0,1,3
q069,3.0,1.0,0.3333,0.1481,4.4074,rewrite,0.0,0.0,0.0,0.0,1,3
q071,4.0,0.9375,0.6667,0.0396,4.8414,accept,0.0,0.0,0.0,0.5,2,3
q072,4.0,0.9375,1.0,0.0026,4.9896,accept,0.0,0.0,0.0,0.5,3,3
q074,3.0,1.0,0.6667,0.037,4.8519,accept,0.0,0.0,0.0,0.0,2,3
q075,4.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q080,4.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q081,4.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q083,5.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q086,2.0,0.875,0.6667,0.0475,4.8102,accept,0.0,0.0,0.0,1.0,2,3
q087,3.0,0.9375,0.6667,0.0396,4.8414,accept,0.0,0.0,0.0,0.5,2,3
q088,4.0,0.875,0.6667,0.0475,4.8102,accept,0.0,0.0,0.0,1.0,2,3
q092,4.0,0.875,0.6667,0.0475,4.8102,accept,0.0,0.0,0.0,1.0,2,3
q093,2.0,0.9375,0.3333,0.1508,4.397,rewrite,0.0,0.0,0.0,0.5,1,3
q094,3.0,1.0,1.0,0.0,5.0,accept,0.0,0.0,0.0,0.0,3,3
q095,2.0,0.75,0.3333,0.1898,4.2407,rewrite,0.0,0.0,1.0,1.0,1,3
q096,3.0,0.9375,0.6667,0.0396,4.8414,accept,0.0,0.0,0.0,0.5,2,3
q099,2.0,0.875,0.6667,0.0475,4.8102,accept,0.0,0.0,0.0,1.0,2,3
q100,4.0,0.875,0.3333,0.1586,4.3657,rewrite,0.0,0.0,0.0,1.0,1,3
