qid,subgroup,n_props,sys_hits,human_hits,tp_max,fp_min,fn_min,tn_max
q001,HA28,3,2,0,0,2,0,1
q003,HA28,3,1,1,1,0,0,2
q005,HA28,3,2,2,2,0,0,1
q009,HA20,3,3,3,3,0,0,0
q010,HA28,3,3,2,2,1,0,0
q012,HA20,3,2,1,1,1,0,1
q015,HA20,3,1,1,1,0,0,2
q017,HA28,3,1,3,1,0,2,0
q019,HA20,3,2,2,2,0,0,1
q024,HA20,3,1,0,0,1,0,2
q025,HA20,3,2,1,1,1,0,1
q026,HA28,3,1,0,0,1,0,2
q032,HA20,3,3,0,0,3,0,0
q033,HA20,3,3,2,2,1,0,0
q034,HA28,3,2,2,2,0,0,1
q037,HA20,3,2,1,1,1,0,1
q041,HA28,4,2,2,2,0,0,2
q042,HA28,3,2,0,0,2,0,1
q044,HA20,3,2,1,1,1,0,1
q049,HA20,3,3,3,3,0,0,0
q050,HA28,3,2,2,2,0,0,1
q053,HA28,3,3,1,1,2,0,0
q055,HA28,4,2,3,2,0,1,1
q058,HA28,3,3,2,2,1,0,0
q061,HA20,3,2,2,2,0,0,1
q062,HA28,3,1,1,1,0,0,2
q063,HA20,3,3,3,3,0,0,0
q064,HA28,3,0,1,0,0,1,2
q066,HA28,3,2,1,1,1,0,1
q067,HA28,3,1,1,1,0,0,2
q069,HA20,3,2,1,1,1,0,1
q071,HA20,3,2,2,2,0,0,1
q072,HA28,3,3,2,2,1,0,0
q074,HA28,3,2,2,2,0,0,1
q075,HA20,3,2,3,2,0,1,0
q080,HA20,3,2,3,2,0,1,0
q081,HA28,3,2,2,2,0,0,1
q083,HA20,3,3,3,3,0,0,0
q086,HA28,3,2,1,1,1,0,1
q087,HA28,3,2,2,2,0,0,1
q088,HA28,3,2,3,2,0,1,0
q092,HA28,3,2,3,2,0,1,0
q093,HA28,3,1,1,1,0,0,2
q094,HA28,3,3,2,2,1,0,0
q095,HA20,3,1,1,1,0,0,2
q096,HA28,3,2,2,2,0,0,1
q099,HA28,3,2,0,0,2,0,1
q100,HA20,3,1,2,1,0,1,1
