group,n,O_mean,de_a_ref_mean,de_a_sys_mean,rho_ref,p_ref,note
group:HA20,20,3.4,0.1136,0.0728,0.9266,4.50e-09,
group:A_fail,7,2.714,0.295,0.1654,0.835,0.019396,
group:B_warn,7,2.857,0.1715,0.1239,0.5935,0.160109,
group:CD_pass,14,2.857,0.1607,0.0397,0.8487,0.000124,
group:HA28_all,28,2.821,0.197,0.0922,0.716,1.8e-05,
cat:adversarial,7,2.857,0.1224,0.092,0.9535,0.000875,
cat:ai_ethics,8,3.0,0.1474,0.0711,0.8555,0.006745,
cat:ai_philosophy,10,3.2,0.1448,0.0467,0.8221,0.003516,
cat:epistemology,8,3.75,0.0691,0.0436,0.8106,0.01467,
cat:technical_ai,7,3.429,0.129,0.0417,0.9129,0.004105,
cat:ugh_theory,8,2.125,0.3558,0.2146,0.8565,0.006613,
O<=2,17,1.824,0.3316,0.1535,0.6705,0.00322,
O=3,11,3.0,0.1157,0.0408,nan,nan,
O>=4,20,4.15,0.0439,0.049,0.4527,0.045041,
