id,human_score,f1_flag,f2_flag,f3_flag,f4_flag,S,C_sys,C_human,delta_e_A,delta_e_A_human,delta_e_full,por,fail_max,sys_fail_max
q009,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1938,0.8829,0.0,0.0
q012,3.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.3333,0.037,0.1481,0.5395,0.8679,0.5,0.0
q015,2.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.1481,0.1481,0.3588,0.8495,0.0,0.0
q019,4.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,0.037,0.037,0.3933,0.7848,0.0,0.0
q024,2.0,0.0,0.0,0.0,1.0,0.875,0.3333,0.0,0.1586,0.3438,0.2347,0.9009,1.0,1.0
q025,3.0,0.0,0.0,0.5,0.0,0.9375,0.6667,0.3333,0.0396,0.1508,0.1859,0.8184,0.5,0.5
q032,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333,0.4204,0.7587,0.0,1.0
q033,3.0,0.0,0.5,0.0,0.0,0.6875,1.0,0.6667,0.0651,0.1021,0.2856,0.8375,0.5,0.5
q037,3.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.3333,0.037,0.1481,0.2094,0.8623,0.0,0.0
q044,3.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.3333,0.037,0.1481,0.3649,0.7513,1.0,0.0
q049,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2942,0.8666,0.0,0.0
q061,4.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,0.037,0.037,0.2059,0.7885,0.0,0.0
q063,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3477,0.7841,0.0,0.0
q069,3.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.1481,0.1481,0.3744,0.7885,0.0,0.0
q071,4.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,0.037,0.037,0.1947,0.7672,0.0,0.0
q075,4.0,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,0.037,0.0,0.183,0.8775,1.0,0.0
q080,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1806,0.8425,0.5,0.0
q083,5.0,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,0.037,0.0,0.1653,0.7883,0.0,0.0
q095,2.0,0.0,0.0,1.0,1.0,0.75,0.3333,0.3333,0.1898,0.1898,0.2285,0.803,1.0,1.0
q100,4.0,0.0,0.0,0.0,0.5,0.9375,0.3333,0.6667,0.1508,0.0396,0.3633,0.8882,0.0,0.5
