id,human_score,system_hit_rate,fail_max,f3_flag,f4_flag,delta_e_full,model_a_pred,model_c_prime_pred,diff,judgment,driver
q024,2.0,0.3333333333333333,1.0,0.0,1.0,0.2347,2.333333333333333,1.0,-1.333333333333333,悪化,fail_max=1.0 がボトルネック発動
q075,4.0,0.6666666666666666,0.0,0.0,0.0,0.183,3.6666666666666665,3.8810666666666664,0.21439999999999992,改善,L_linear ≤ L_struct (変化小)
q009,5.0,1.0,0.0,0.0,0.0,0.1938,5.0,4.37984,-0.6201600000000003,悪化,L_linear ≤ L_struct (変化小)
q080,4.0,1.0,0.0,0.0,0.0,0.1806,5.0,4.42208,-0.5779199999999998,改善,L_linear ≤ L_struct (変化小)
q037,3.0,0.6666666666666666,0.0,0.0,0.0,0.2094,3.6666666666666665,3.7965866666666663,0.1299199999999998,悪化,L_linear ≤ L_struct (変化小)
q100,4.0,0.3333333333333333,0.5,0.0,0.5,0.3633,2.333333333333333,2.770773333333333,0.43744000000000005,改善,ΔE=0.363 が高い (γ=0.8 で増幅)
q015,2.0,0.3333333333333333,0.0,0.0,0.0,0.3588,2.333333333333333,2.785173333333333,0.4518399999999998,悪化,ΔE=0.359 が高い (γ=0.8 で増幅)
q012,3.0,0.6666666666666666,0.0,0.0,0.0,0.5395,3.6666666666666665,2.740266666666667,-0.9263999999999997,改善,ΔE=0.539 が高い (γ=0.8 で増幅)
q049,4.0,1.0,0.0,0.0,0.0,0.2942,5.0,4.05856,-0.94144,改善,L_linear ≤ L_struct (変化小)
q033,3.0,1.0,0.5,0.0,0.0,0.2856,5.0,3.0,-2.0,改善,fail_max=0.5 がボトルネック発動
q071,4.0,0.6666666666666666,0.0,0.0,0.0,0.1947,3.6666666666666665,3.8436266666666663,0.17695999999999978,改善,L_linear ≤ L_struct (変化小)
q061,4.0,0.6666666666666666,0.0,0.0,0.0,0.2059,3.6666666666666665,3.8077866666666664,0.1411199999999999,改善,L_linear ≤ L_struct (変化小)
q083,5.0,0.6666666666666666,0.0,0.0,0.0,0.1653,3.6666666666666665,3.9377066666666667,0.27104000000000017,改善,L_linear ≤ L_struct (変化小)
q025,3.0,0.6666666666666666,0.5,0.5,0.0,0.1859,3.6666666666666665,3.0,-0.6666666666666665,改善,fail_max=0.5 がボトルネック発動
q095,2.0,0.3333333333333333,1.0,1.0,1.0,0.2285,2.333333333333333,1.0,-1.333333333333333,悪化,fail_max=1.0 がボトルネック発動
q032,1.0,1.0,1.0,0.0,0.0,0.4204,5.0,1.0,-4.0,改善,fail_max=1.0 がボトルネック発動
q044,3.0,0.6666666666666666,0.0,0.0,0.0,0.3649,3.6666666666666665,3.2989866666666665,-0.36768,改善,ΔE=0.365 が高い (γ=0.8 で増幅)
q019,4.0,0.6666666666666666,0.0,0.0,0.0,0.3933,3.6666666666666665,3.2081066666666667,-0.45855999999999986,悪化,ΔE=0.393 が高い (γ=0.8 で増幅)
q069,3.0,0.3333333333333333,0.0,0.0,0.0,0.3744,2.333333333333333,2.735253333333333,0.40192000000000005,改善,ΔE=0.374 が高い (γ=0.8 で増幅)
q063,5.0,1.0,0.0,0.0,0.0,0.3477,5.0,3.88736,-1.1126399999999999,悪化,ΔE=0.348 が高い (γ=0.8 で増幅)
