id,human_score,loo_predicted,residual,alpha,beta,gamma
q024,2.0,1.0,-1.0,0.4,0.0,0.8
q075,4.0,3.88,-0.12,0.4,0.0,0.8
q009,5.0,4.38,-0.62,0.4,0.0,0.8
q080,4.0,4.42,0.42,0.4,0.0,0.8
q037,3.0,3.8,0.8,0.4,0.0,0.8
q100,4.0,2.92,-1.08,0.4,0.0,0.7
q015,2.0,2.79,0.79,0.4,0.0,0.8
q012,3.0,2.96,-0.04,0.4,0.0,0.7
q049,4.0,4.06,0.06,0.4,0.0,0.8
q033,3.0,3.0,0.0,0.4,0.0,0.8
q071,4.0,3.84,-0.16,0.4,0.0,0.8
q061,4.0,3.81,-0.19,0.4,0.0,0.8
q083,5.0,3.94,-1.06,0.4,0.0,0.8
q025,3.0,3.0,0.0,0.4,0.0,0.8
q095,2.0,1.0,-1.0,0.4,0.0,0.8
q032,1.0,1.0,0.0,0.4,0.0,0.8
q044,3.0,3.3,0.3,0.4,0.0,0.8
q019,4.0,3.21,-0.79,0.4,0.0,0.8
q069,3.0,2.74,-0.26,0.4,0.0,0.8
q063,5.0,3.75,-1.25,0.3,0.0,0.9
