id,O,L_P,L_Q,L_R,L_A,L_F_f2,L_sem_best,delta_e
q001,1.0,0.3333,0.0000,0.0000,0.0000,1.0000,0.6250,0.2974
q003,2.0,0.6667,0.0000,0.0000,0.0000,0.5000,0.5000,0.2133
q005,4.0,0.3333,1.0000,0.0000,0.0000,0.0000,0.1250,0.0474
q009,5.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q010,2.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q012,3.0,0.3333,0.0000,0.5000,0.0000,0.0000,0.1875,0.0396
q015,2.0,0.6667,0.0000,0.0000,0.0000,0.0000,0.2500,0.1482
q017,4.0,0.6667,0.0000,0.0000,0.0000,0.0000,0.2500,0.1482
q019,4.0,0.3333,1.0000,0.0000,0.0000,0.0000,0.1250,0.0474
q024,2.0,0.3333,0.0000,0.5000,0.0000,0.5000,0.4375,0.1308
q025,3.0,0.3333,1.0000,0.5000,0.0000,0.5000,0.4375,0.2037
q026,1.0,0.6667,1.0000,0.5000,0.0000,1.0000,0.8125,0.5883
q032,1.0,0.0000,1.0000,0.0000,0.0000,1.0000,0.5000,0.3750
q033,3.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.2500,0.0651
q034,4.0,0.3333,0.0000,1.0000,0.0000,0.5000,0.5000,0.1646
q037,3.0,0.3333,0.0000,0.0000,0.0000,0.0000,0.1250,0.0370
q041,4.0,0.5000,0.0000,1.0000,0.0000,0.0000,0.3125,0.0938
q042,2.0,0.3333,0.0000,0.5000,0.0000,0.0000,0.1875,0.0396
q044,3.0,0.3333,0.0000,0.5000,0.0000,0.0000,0.1875,0.0396
q049,4.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q050,4.0,0.3333,0.0000,0.0000,0.0000,0.0000,0.1250,0.0370
q053,2.0,0.0000,0.0000,1.0000,0.0000,0.0000,0.1250,0.0104
q055,4.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q058,3.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q061,4.0,0.3333,0.0000,0.0000,0.0000,0.0000,0.1250,0.0370
q062,2.0,0.6667,0.0000,0.0000,0.0000,0.0000,0.2500,0.1482
q063,5.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q064,2.0,0.6667,0.0000,0.5000,0.0000,0.0000,0.3125,0.1508
q066,2.0,0.3333,0.0000,0.0000,0.0000,0.0000,0.1250,0.0370
q067,2.0,0.6667,0.0000,0.0000,0.0000,0.0000,0.2500,0.1482
q069,3.0,0.6667,0.0000,0.0000,0.0000,0.0000,0.2500,0.1482
q071,4.0,0.3333,0.0000,0.5000,0.0000,0.0000,0.1875,0.0396
q072,4.0,0.0000,0.0000,0.5000,0.0000,0.0000,0.0625,0.0026
q074,3.0,0.3333,0.0000,0.0000,0.0000,0.0000,0.1250,0.0370
q075,4.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q080,4.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q081,4.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q083,5.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q086,2.0,0.3333,0.0000,1.0000,0.0000,0.0000,0.2500,0.0474
q087,3.0,0.3333,0.0000,0.5000,0.0000,0.0000,0.1875,0.0396
q088,4.0,0.3333,0.0000,1.0000,0.0000,0.0000,0.2500,0.0474
q092,4.0,0.3333,0.0000,1.0000,0.0000,0.0000,0.2500,0.0474
q093,2.0,0.6667,0.0000,0.5000,0.0000,0.0000,0.3125,0.1508
q094,3.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q095,2.0,0.6667,1.0000,1.0000,0.0000,0.0000,0.3750,0.1898
q096,3.0,0.3333,0.0000,0.5000,0.0000,0.0000,0.1875,0.0396
q099,2.0,0.3333,0.0000,1.0000,0.0000,0.0000,0.2500,0.0474
q100,4.0,0.6667,0.0000,1.0000,0.0000,0.0000,0.3750,0.1586
