id,source,term,family,scope,notes
q001,question,〜か（二項疑問）,binary_frame,回答は誠実だと言えるか？,
q001,proposition_0,十分条件ではない（否定限定）,limiter_suffix,度であり誠実性の十分条件ではない,
q001,proposition_1,(none),,,演算子なし
q001,proposition_2,(none),,,演算子なし
q002,question,(none),,,演算子なし
q002,proposition_0,(none),,,演算子なし
q002,proposition_1,(none),,,演算子なし
q002,proposition_2,(none),,,演算子なし
q003,question,常に,universal,レが小さい）ことは、常に良い回答を意味するか,
q003,question,〜か（二項疑問）,binary_frame,に良い回答を意味するか？,
q003,proposition_0,保証しない（否定限定）,limiter_suffix,ΔEは良い回答を保証しない,
q003,proposition_1,なら,conditional,erenceが保守的なら無難な回答でもΔEは,
q003,proposition_2,(none),,,演算子なし
q004,question,可能か（二項疑問）,binary_frame,erの自己適用は可能か？,
q004,proposition_0,(none),,,演算子なし
q004,proposition_1,(none),,,演算子なし
q004,proposition_2,(none),,,演算子なし
q004,proposition_3,(none),,,演算子なし
q007,question,(none),,,演算子なし
q007,proposition_0,(none),,,演算子なし
q007,proposition_1,(none),,,演算子なし
q007,proposition_2,(none),,,演算子なし
q011,question,〜か（二項疑問）,binary_frame,せることは正当化できるか？,
q011,proposition_0,(none),,,演算子なし
q011,proposition_1,とは異なる（区別）,comparative,に意図を持つこととは異なる,
q011,proposition_2,(none),,,演算子なし
q012,question,にすぎない,limiter_suffix,「AIは道具にすぎない」という主張は哲学的,
q012,question,正しいか（二項疑問）,binary_frame,う主張は哲学的に正しいか？,
q012,question,〜か（二項疑問）,binary_frame,張は哲学的に正しいか？,
q012,proposition_0,(none),,,演算子なし
q012,proposition_1,(none),,,演算子なし
q012,proposition_2,二項/二択（枠組み）,binary_frame,道具と行為者の二項対立自体が要再検討,
q012,proposition_2,再検討（反復前提）,conditional,二項対立自体が要再検討,
q015,question,(none),,,演算子なし
q015,proposition_0,(none),,,演算子なし
q015,proposition_1,(none),,,演算子なし
q015,proposition_2,(none),,,演算子なし
q016,question,本質的に,universal,アライメント研究は本質的にパターナリスティック,
q016,question,ではないか,negative_question,パターナリスティックではないか？,
q016,question,〜か（二項疑問）,binary_frame,スティックではないか？,
q016,proposition_0,(none),,,演算子なし
q016,proposition_1,(none),,,演算子なし
q016,proposition_2,(none),,,演算子なし
q030,question,〜か（二項疑問）,binary_frame,をどのように検出できるか？,
q030,proposition_0,(none),,,演算子なし
q030,proposition_1,(none),,,演算子なし
q030,proposition_2,(none),,,演算子なし
q031,question,(none),,,演算子なし
q031,proposition_0,(none),,,演算子なし
q031,proposition_1,(none),,,演算子なし
q031,proposition_2,(none),,,演算子なし
q036,question,〜か（二項疑問）,binary_frame,外の領域にも適用できるか？,
q036,proposition_0,(none),,,演算子なし
q036,proposition_1,(none),,,演算子なし
q036,proposition_2,(none),,,演算子なし
q041,question,なぜ,causal_presupposition, learningはなぜ機能するのか？そのメ,
q041,proposition_0,未〜（否定状態）,limiter_suffix,全なメカニズムは未解明,
q041,proposition_1,(none),,,演算子なし
q041,proposition_2,(none),,,演算子なし
q041,proposition_3,(none),,,演算子なし
q045,question,同義（等価疑問）,comparative,デルの理解力向上と同義か？,
q045,proposition_0,(none),,,演算子なし
q045,proposition_1,(none),,,演算子なし
q045,proposition_2,とは別（区別）,comparative,を活用できることとは別問題,
q048,question,解決する（完了前提）,universal,ックボックス問題を解決するか？,
q048,question,〜か（二項疑問）,binary_frame,ックス問題を解決するか？,
q048,proposition_0,(none),,,演算子なし
q048,proposition_1,未〜（否定状態）,limiter_suffix,体説明への飛躍が未解決,
q048,proposition_2,にとどまる,limiter_suffix,ボックスの部分的照明にとどまる,
q064,question,可能か（二項疑問）,binary_frame,嘘をつく」ことは可能か？,
q064,proposition_0,(none),,,演算子なし
q064,proposition_1,(none),,,演算子なし
q064,proposition_2,(none),,,演算子なし
q065,question,べき（当為）,NEW:deontic,問題にどう対処すべきか？,
q065,proposition_0,二項/二択（枠組み）,binary_frame,開か完全秘匿かの二択ではない,
q065,proposition_1,(none),,,演算子なし
q065,proposition_2,(none),,,演算子なし
q066,question,(none),,,演算子なし
q066,proposition_0,(none),,,演算子なし
q066,proposition_1,(none),,,演算子なし
q066,proposition_2,(none),,,演算子なし
q067,question,(none),,,演算子なし
q067,proposition_0,(none),,,演算子なし
q067,proposition_1,(none),,,演算子なし
q067,proposition_2,(none),,,演算子なし
q074,question,それとも,binary_frame,不平等を拡大するか、それとも縮小するか？,
q074,question,〜か（二項疑問）,binary_frame,か、それとも縮小するか？,
q074,question,拡大/縮小する（方向前提）,binary_frame,は社会的不平等を拡大するか、それとも縮小,
q074,proposition_0,(none),,,演算子なし
q074,proposition_1,(none),,,演算子なし
q074,proposition_2,すれば,conditional,放置すれば格差拡大方向に進みや,
q090,question,(none),,,演算子なし
q090,proposition_0,未〜（否定状態）,limiter_suffix,意識の定義が未確定,
q090,proposition_1,未〜（否定状態）,limiter_suffix,検証手段が未確立,
q090,proposition_2,断定（確信度）,universal,断定は不可能であり「,
q099,question,なぜ,causal_presupposition,なぜ米国はAI競争で中国,
q099,proposition_0,未〜（否定状態）,limiter_suffix,る」という前提が未検証,
q099,proposition_1,(none),,,演算子なし
q099,proposition_2,(none),,,演算子なし
qg01,question,最も,universal,AIの安全性について最も重要な論点は何か？,
qg01,proposition_0,(none),,,演算子なし
qg01,proposition_1,(none),,,演算子なし
qg01,proposition_2,(none),,,演算子なし
qg01,proposition_3,だけ,limiter_prefix,一つの論点だけに絞るのは不十分,
qg01,proposition_3,一つ（限定）,limiter_prefix,一つの論点だけに絞るの,
